NAME_2,STATE_NA_1,Land resource area,Pasture_grassland_mean_npp(gC/m2/yr),Grassland/Pasture NPP percetage of LRRs,HANPP_grazing(gC/m2/yr)Site_speific,Grassland/Pasture area_Acres,Grassland/Pasture area_m2,HANPP_grazing_Tonnes(Site specific),County_Area_m2,HANPP_grazing_gC/m2/yr(County),HANPP_grazing_Tonnes(County)
Morrow,Ohio,C feed grains,894.604354,7.26,64.9482761,28896.6,116940494.7,7595.083536,1054510016,7.20247643,7595.083536
Shelby,Ohio,C feed grains,782.94801,7.26,56.84202553,12857.1,52030883.71,2957.54082,1063600000,2.780688999,2957.54082
Logan,Ohio,C feed grains,778.717627,7.26,56.53489972,24208.5,97968410.31,5538.634253,1208979968,4.581245678,5538.634253
Union,Ohio,C feed grains,819.159239,7.26,59.47096075,29549.6,119583094.3,7111.721505,1131440000,6.285548951,7111.721505
Darke,Ohio,C feed grains,885.837232,7.26,64.31178304,16193.2,65531613.35,4214.4549,1554099968,2.71182999,4214.4549
Champaign,Ohio,C feed grains,803.09585,7.26,58.30475871,23688.8,95865257.17,5589.400688,1113139968,5.021291885,5589.400688
Franklin,Ohio,C feed grains,788.837884,7.26,57.26963038,23806.5,96341572.59,5517.446252,1407980032,3.918696378,5517.446252
Clark,Ohio,C feed grains,789.030377,7.26,57.28360537,27417.3,110953974.7,6355.8437,1042950016,6.094101925,6355.8437
Madison,Ohio,C feed grains,842.244672,7.26,61.14696319,19722,79812172.92,4880.271999,1208669952,4.03772096,4880.271999
Preble,Ohio,C feed grains,780.470674,7.26,56.66217093,22643.8,91636288.47,5192.311041,1104489984,4.701093822,5192.311041
Pickaway,Ohio,C feed grains,871.897527,7.26,63.29976046,35412.1,143307811,9071.350109,1312039936,6.913928349,9071.350109
Fairfield,Ohio,C feed grains,795.452956,7.26,57.74988461,38963.8,157681043.7,9106.062076,1317040000,6.914036078,9106.062076
Clinton,Ohio,C feed grains,897.499063,7.26,65.15843197,17881.6,72364331.78,4715.146389,1067880000,4.415427192,4715.146389
Brown,Ohio,C feed grains,712.287567,7.26,51.71207736,32033.1,129633471.1,6703.616085,1277890048,5.245847321,6703.616085
Hamilton,Ohio,C feed grains,646.850799,7.26,46.96136801,10189.2,41234265.91,1936.417536,1068640000,1.812039168,1936.417536
Highland,Ohio,C feed grains,765.862793,7.26,55.60163877,38499.2,155800872.5,8662.783834,1445200000,5.99417647,8662.783834
Wagoner,Oklahoma,C feed grains,404.478951,7.26,29.36517184,129901.8,525694398.3,15437.10634,1529760000,10.09119492,15437.10634
Tulsa,Oklahoma,C feed grains,392.185272,7.26,28.47265075,106483.2,430922602.8,12269.50877,1520280064,8.07055822,12269.50877
Nowata,Oklahoma,C feed grains,395.933905,7.26,28.7448015,252198.2,1020610808,29337.25508,1504039936,19.50563571,29337.25508
Washington,Oklahoma,C feed grains,384.743343,7.26,27.9323667,161243.2,652528656.4,18226.66971,1098880000,16.5865879,18226.66971
Craig,Oklahoma,C feed grains,425.485423,7.26,30.89024171,352721.5,1427414529,44093.17984,1975469952,22.32034954,44093.17984
Ottawa,Oklahoma,C feed grains,463.435209,7.26,33.64539617,138996.2,562498161.9,18925.47351,1255219968,15.0774159,18925.47351
Rogers,Oklahoma,C feed grains,420.205453,7.26,30.50691589,225667.9,913246397.8,27860.33104,1842870016,15.11790349,27860.33104
Mayes,Oklahoma,C feed grains,422.907887,7.26,30.7031126,204275.3,826673540.6,25381.4508,1770259968,14.33769687,25381.4508
Muskogee,Oklahoma,C feed grains,402.417409,7.26,29.21550389,264990.1,1072377836,31330.05885,2175010048,14.40455821,31330.05885
Okmulgee,Oklahoma,C feed grains,396.999086,7.26,28.82213364,198461.6,803146310.6,23148.3903,1818729984,12.72777735,23148.3903
McIntosh,Oklahoma,C feed grains,397.902538,7.26,28.88772426,163033.1,659772131.1,19059.3154,1845040000,10.33002829,19059.3154
Okfuskee,Oklahoma,C feed grains,387.369548,7.26,28.12302918,165232.8,668674009,18805.13867,1628809984,11.5453238,18805.13867
Minnehaha,South Dakota,C feed grains,482.069334,7.26,34.99823365,68319.6,276479856.5,9676.306615,2107709952,4.590909962,9676.306615
Day,South Dakota,C feed grains,454.397533,7.26,32.9892609,148593.9,601338710.2,19837.7196,2826109952,7.019443664,19837.7196
Roberts,South Dakota,C feed grains,414.441338,7.26,30.08844114,155541.5,629454674.7,18939.30993,2941230080,6.439248006,18939.30993
Grant,South Dakota,C feed grains,435.043839,7.26,31.58418271,108108,437497940.9,13818.0149,2599290112,5.316072583,13818.0149
Clark,South Dakota,C feed grains,468.152225,7.26,33.98785154,140113.5,567019718.6,19271.78201,2505580032,7.691545178,19271.78201
Codington,South Dakota,C feed grains,494.359753,7.26,35.89051807,100010,404726468.6,14525.84263,1857360000,7.820693153,14525.84263
Hamlin,South Dakota,C feed grains,538.773563,7.26,39.11496067,43871.6,177542223.2,6944.557077,1393699968,4.98282072,6944.557077
Deuel,South Dakota,C feed grains,461.405266,7.26,33.49802231,125159.9,506504592.9,16966.90215,1648390016,10.29301439,16966.90215
Kingsbury,South Dakota,C feed grains,488.223828,7.26,35.44504991,95470.7,386356557,13694.42745,2237100032,6.121508762,13694.42745
Brookings,South Dakota,C feed grains,493.212002,7.26,35.80719135,104153.4,421494228.3,15092.52448,2084819968,7.239245938,15092.52448
Lake,South Dakota,C feed grains,537.400966,7.26,39.01531013,45845.14,185528863.3,7238.466138,1489820032,4.858617808,7238.466138
Moody,South Dakota,C feed grains,495.898906,7.26,36.00226058,47240.4,191175285.1,6882.742431,1348920064,5.102409413,6882.742431
Hanson,South Dakota,C feed grains,413.547955,7.26,30.02358153,47231.1,191137649.3,5738.636799,1127670016,5.088932682,5738.636799
McCook,South Dakota,C feed grains,474.370415,7.26,34.43929213,57131,231201158.7,7962.404244,1493939968,5.32980201,7962.404244
Hutchinson,South Dakota,C feed grains,429.481661,7.26,31.18036859,90847.3,367646304.5,11463.34728,2109059968,5.435287501,11463.34728
Bon Homme,South Dakota,C feed grains,428.184633,7.26,31.08620436,75499,305533883.1,9497.888729,1506249984,6.305652335,9497.888729
Yankton,South Dakota,C feed grains,440.930253,7.26,32.01153637,70067.7,283554172.4,9077.004703,1378550016,6.584458016,9077.004703
Turner,South Dakota,C feed grains,524.925326,7.26,38.10957867,41467.3,167812357.7,6395.258246,1599570048,3.998110776,6395.258246
Lincoln,South Dakota,C feed grains,563.589904,7.26,40.91662703,30729.4,124357579.7,5088.292706,1496969984,3.399061278,5088.292706
Clay,South Dakota,C feed grains,522.581216,7.26,37.93939628,17731.3,71756088.72,2722.382685,1080640000,2.519231831,2722.382685
Union,South Dakota,C feed grains,510.97732,7.26,37.09695343,20028,81050512.08,3006.727072,1209769984,2.485370866,3006.727072
La Crosse,Wisconsin,C feed grains,761.60941,7.26,55.29284317,23782.4,96244043.26,5321.60679,1243190016,4.280606119,5321.60679
Eau Claire,Wisconsin,C feed grains,712.836726,7.26,51.75194631,28130.5,113840195.2,5891.451671,1670759936,3.526210764,5891.451671
Kenosha,Wisconsin,C feed grains,742.19228,7.26,53.88315953,11066.1,44782957.45,2413.04724,720430016,3.349454057,2413.04724
Pierce,Wisconsin,C feed grains,768.318991,7.26,55.77995875,44532.7,180217602.3,10052.53042,1532550016,6.559349005,10052.53042
Pepin,Wisconsin,C feed grains,703.713491,7.26,51.08959945,8792.8,35583230.61,1817.932999,644145984,2.822237573,1817.932999
Buffalo,Wisconsin,C feed grains,665.754467,7.26,48.3337743,27193.1,110046668.7,5318.970846,1838000000,2.893890558,5318.970846
Trempealeau,Wisconsin,C feed grains,668.640784,7.26,48.54332092,38635.3,156351650.2,7589.82833,1921660032,3.949620746,7589.82833
Jackson,Wisconsin,C feed grains,647.306499,7.26,46.99445183,19847.6,80320458.54,3774.615919,2590960128,1.456840605,3774.615919
Monroe,Wisconsin,C feed grains,684.417555,7.26,49.68871449,68185.8,275938386.6,13711.02371,2352420096,5.828475846,13711.02371
Vernon,Wisconsin,C feed grains,760.740641,7.26,55.22977054,85971.3,347913815.1,19215.20018,2114599936,9.08691987,19215.20018
Crawford,Wisconsin,C feed grains,734.174274,7.26,53.30105229,37750.2,152769774.4,8142.789733,1552000000,5.246642869,8142.789733
Richland,Wisconsin,C feed grains,736.057313,7.26,53.43776092,54208.9,219375829.1,11722.95311,1526169984,7.681289259,11722.95311
Sauk,Wisconsin,C feed grains,759.136147,7.26,55.11328427,61294.4,248049855.6,13670.8422,2199350016,6.215855641,13670.8422
Grant,Wisconsin,C feed grains,741.051398,7.26,53.80033149,162113.5,656050638.6,35295.74183,3064930048,11.51600242,35295.74183
Iowa,Wisconsin,C feed grains,729.009216,7.26,52.92606908,108662.7,439742734.1,23273.85432,1989120000,11.70057831,23273.85432
Lafayette,Wisconsin,C feed grains,688.71807,7.26,50.00093188,91918.2,371980086.9,18599.35098,1643869952,11.31436885,18599.35098
,,,,,,,,,,,
Sedgwick,Colorado,C great plains,302.366903, ,#VALUE!,121238.7,490636045.5,#VALUE!,1422499968,#VALUE!,#VALUE!
Phillips,Colorado,C great plains,418.850531,8.26,34.59705386,76273.1,308666557.5,10678.95351,1781900032,5.99301494,10678.95351
Yuma,Colorado,C great plains,295.070215,8.26,24.37279976,76273.1,308666557.5,7523.068197,6135090176,1.226235961,7523.068197
Marion,Kansas,C great plains,394.136373,8.26,32.55566441,242469.8,981241334.8,31944.9636,2469880064,12.93381167,31944.9636
Cloud,Kansas,C great plains,356.907577,8.26,29.48056586,154958.6,627095760,18487.13785,1859660032,9.941138453,18487.13785
Sedgwick,Kansas,C great plains,410.791039,8.26,33.93133982,135309.8,547579817.2,18580.11686,2613479936,7.109339774,18580.11686
Harper,Kansas,C great plains,351.220741,8.26,29.01083321,192057.6,777230219.1,22548.09625,2079420032,10.84345438,22548.09625
Kingman,Kansas,C great plains,346.936248,8.26,28.65693408,255919.1,1035668769,29679.09165,2244689920,13.22191158,29679.09165
Logan,Kansas,C great plains,239.04055,8.26,19.74474943,316675.3,1281540605,25303.69812,2244689920,11.27269201,25303.69812
Ellsworth,Kansas,C great plains,341.036162,8.26,28.16958698,259888.2,1051731161,29626.83242,1873289984,15.81540107,29626.83242
Trego,Kansas,C great plains,284.985768,8.26,23.53982444,279971.3,1133004655,26670.73067,2330390016,11.4447498,26670.73067
Comanche,Kansas,C great plains,286.428537,8.26,23.65899716,380575.5,1540135768,36438.06775,2045529984,17.81350948,36438.06775
Graham,Kansas,C great plains,294.729583,8.26,24.34466356,287159.1,1162092675,28290.7552,2327859968,12.15311728,28290.7552
Chautauqua,Kansas,C great plains,386.038117,8.26,31.88674846,275554.3,1115129674,35557.85944,1670150016,21.2902189,35557.85944
Barber,Kansas,C great plains,288.665987,8.26,23.84381053,508964.2,2059706862,49111.26017,2941989888,16.69321175,49111.26017
Elk,Kansas,C great plains,390.447245,8.26,32.25094244,306291.5,1239518820,39975.6501,1685030016,23.72399882,39975.6501
Ness,Kansas,C great plains,321.155536,8.26,26.52744727,340716.4,1378831571,36576.88179,2785139968,13.13287023,36576.88179
Russell,Kansas,C great plains,323.543015,8.26,26.72465304,343174.5,1388779157,37114.64112,1871820032,19.82810339,37114.64112
Kiowa,Kansas,C great plains,327.568061,8.26,27.05712184,263567.9,1066622392,28859.73201,1871820032,15.41800575,28859.73201
Cheyenne,Kansas,C great plains,263.389756,8.26,21.75599385,301798,1221334254,26571.34052,2642769920,10.05435256,26571.34052
Rawlins,Kansas,C great plains,271.165993,8.26,22.39831102,287562.7,1163725988,26065.49663,2771239936,9.405716296,26065.49663
Decatur,Kansas,C great plains,290.64345,8.26,24.00714897,224555,908742647.3,21816.32011,2315719936,9.420966573,21816.32011
Norton,Kansas,C great plains,303.184377,8.26,25.04302954,26033.3,105353120.4,2638.361307,2282380032,1.155969326,2638.361307
Phillips,Kansas,C great plains,317.361741,8.26,26.21407981,275146.4,1113478960,29188.82633,2368280064,12.3249048,29188.82633
Smith,Kansas,C great plains,343.601098,8.26,28.38145069,210642.9,852442326.3,24193.54985,2322850048,10.41545918,24193.54985
Jewell,Kansas,C great plains,378.358376,8.26,31.25240186,206373.8,835165876.3,26100.93958,2368280064,11.02105278,26100.93958
Republic,Kansas,C great plains,392.167822,8.26,32.3930621,108072.2,437353063.3,14167.20494,1865600000,7.593913453,14167.20494
Washington,Kansas,C great plains,367.433583,8.26,30.35001396,201549.4,815642204.9,24754.7523,2327030016,10.63791706,24754.7523
Marshall,Kansas,C great plains,413.063962,8.26,34.11908326,153199.7,619977737.9,21153.07206,2343559936,9.026042704,21153.07206
Sherman,Kansas,C great plains,309.20625,8.26,25.54043625,165503.9,669771112.8,17106.24641,2735549952,6.253311659,17106.24641
Thomas,Kansas,C great plains,319.562771,8.26,26.39588488,107226.5,433930633.8,11453.98306,2783909888,4.114351225,11453.98306
Sheridan,Kansas,C great plains,276.827778,8.26,22.86597446,199877.4,808875855,18495.73464,2321400064,7.967491227,18495.73464
Rooks,Kansas,C great plains,302.348759,8.26,24.97400749,279575,1131400885,28255.61417,2318759936,12.1856574,28255.61417
Osborne,Kansas,C great plains,314.534985,8.26,25.98058976,270710.1,1095525875,28462.40834,2316110080,12.2888841,28462.40834
Mitchell,Kansas,C great plains,342.685072,8.26,28.30578695,123756.4,500824824.9,14176.24079,1862759936,7.61034233,14176.24079
Clay,Kansas,C great plains,358.001281,8.26,29.57090581,133593.4,540633786.7,15987.03079,1698019968,9.415101758,15987.03079
Riley,Kansas,C great plains,355.056184,8.26,29.3276408,199647.9,807947100.6,23695.18235,1611160064,14.7069077,23695.18235
Pottawatomie,Kansas,C great plains,380.499364,8.26,31.42924747,325836.6,1318615103,41443.08039,2231689984,18.57026768,41443.08039
Wallace,Kansas,C great plains,234.190021,8.26,19.34409573,284491.2,1151296058,22270.78116,2366880000,9.409341056,22270.78116
Ellis,Kansas,C great plains,305.806649,8.26,25.25962921,301846.5,1221530527,30855.40818,1685030016,18.31148875,30855.40818
Gove,Kansas,C great plains,294.41038,8.26,24.31829739,312045.7,1262805262,30709.27389,2775249920,11.06540844,30709.27389
Lincoln,Kansas,C great plains,315.771715,8.26,26.08274366,225261.8,911602967.9,23777.10653,1865880064,12.74310551,23777.10653
Ottawa,Kansas,C great plains,317.079472,8.26,26.19076439,210169.4,850526138.1,22275.92969,1868189952,11.92380339,22275.92969
Saline,Kansas,C great plains,338.711812,8.26,27.97759567,187238.5,757727996.1,21199.4075,1868210048,11.34744325,21199.4075
Clay,Kansas,C great plains,358.001281,8.26,29.57090581,133593.4,540633786.7,15987.03079,1698019968,9.415101758,15987.03079
Dickinson,Kansas,C great plains,377.53373,8.26,31.1842861,182591.3,738921428.3,23042.73722,2206569984,10.44278559,23042.73722
Geary,Kansas,C great plains,363.622145,8.26,30.03518918,136494.5,552374132.3,16590.66156,1047960000,15.83138818,16590.66156
Morris,Kansas,C great plains,385.604093,8.26,31.85089808,284195.9,1150101020,36631.75037,1820359936,20.12335563,36631.75037
Wabaunsee,Kansas,C great plains,383.290629,8.26,31.65980596,369320,1494586335,47318.31336,2071360000,22.84407991,47318.31336
Greeley,Kansas,C great plains,236.201704,8.26,19.51026075,58930.1,238481864.5,4652.84336,2016189952,2.307740576,4652.84336
Wichita,Kansas,C great plains,241.418057,8.26,19.94113151,87470.7,353981677,7058.795173,1861020032,3.792971086,7058.795173
Scott,Kansas,C great plains,283.541224,8.26,23.4205051,72930.1,295137904.5,6912.278798,1858899968,3.718478088,6912.278798
Lane,Kansas,C great plains,315.322752,8.26,26.04565932,168432.8,681623961,17753.34547,1858249984,9.553798263,17753.34547
Rush,Kansas,C great plains,373.75477,8.26,30.872144,160775.1,650634321.2,20086.47646,1858960000,10.80522252,20086.47646
Barton,Kansas,C great plains,385.295281,8.26,31.82539021,133803.3,541483222.6,17232.91485,2332800000,7.387223445,17232.91485
Rice,Kansas,C great plains,376.326192,8.26,31.08454346,120352.4,487049313.5,15139.70555,1885900032,8.027840975,15139.70555
McPherson,Kansas,C great plains,390.657512,8.26,32.26831049,148523.4,601053406.5,19394.97794,2332410112,8.315423537,19394.97794
Chase,Kansas,C great plains,366.547536,8.26,30.27682647,1849299,7483854151,226587.3535,2014290048,112.4899335,226587.3535
Hamilton,Kansas,C great plains,188.535797,8.26,15.57305683,126984.7,513889303,8002.827322,2584250112,3.096769653,8002.827322
Kearny,Kansas,C great plains,241.989884,8.26,19.98836442,144260.7,583802856.4,11669.26424,2255369984,5.173991108,11669.26424
Finney,Kansas,C great plains,313.635897,8.26,25.90632509,244875.2,990975651.9,25672.5374,3374259968,7.608346019,25672.5374
Hodgeman,Kansas,C great plains,310.774917,8.26,25.67000814,266436.3,1078230405,27678.18328,2228280064,12.42132159,27678.18328
Pawnee,Kansas,C great plains,352.96032,8.26,29.15452243,97135.8,393094983.6,11460.49652,1954620032,5.863286127,11460.49652
Stafford,Kansas,C great plains,347.076309,8.26,28.66850312,150851.8,610476115.3,17501.43642,2058800000,8.500794841,17501.43642
Reno,Kansas,C great plains,379.346505,8.26,31.33402131,280825.3,1136460674,35609.88297,3294500096,10.80888813,35609.88297
Harvey,Kansas,C great plains,426.059027,8.26,35.19247563,59805.5,242024485.7,8517.440816,1400409984,6.082105179,8517.440816
Butler,Kansas,C great plains,366.633722,8.26,30.28394544,589799.7,2386836814,72282.83584,3746860032,19.29157621,72282.83584
Greenwood,Kansas,C great plains,382.640491,8.26,31.60610456,582972.4,2359207687,74565.36482,2985070080,24.97943526,74565.36482
Stanton,Kansas,C great plains,191.177242,8.26,15.79124019,85506.1,346031215.8,5464.262042,1761830016,3.101469491,5464.262042
Grant,Kansas,C great plains,278.941257,8.26,23.04054783,41807.3,169188290.1,3898.19089,1489890048,2.616428571,3898.19089
Haskell,Kansas,C great plains,349.730025,8.26,28.88770007,34170.3,138282420.3,3994.661081,1496630016,2.669103946,3994.661081
Gray,Kansas,C great plains,384.097677,8.26,31.72646812,114699.1,464171199.8,14726.51277,2251360000,6.541163019,14726.51277
Ford,Kansas,C great plains,367.629271,8.26,30.36617778,187118.4,757241968.2,22994.54423,2846330112,8.078663868,22994.54423
Pratt,Kansas,C great plains,345.962714,8.26,28.57652018,131353.8,531570439.1,15190.43338,1905609984,7.971428312,15190.43338
Morton,Kansas,C great plains,208.461377,8.26,17.21890974,148955.3,602801245.4,10379.58024,1889820032,5.492364384,10379.58024
Stevens,Kansas,C great plains,278.271059,8.26,22.98518947,55418.3,224270101.5,5154.890777,1884860032,2.734893143,5154.890777
Seward,Kansas,C great plains,268.661823,8.26,22.19146658,45223.3,183012363.8,4061.312756,1658140032,2.449318319,4061.312756
Meade,Kansas,C great plains,268.900503,8.26,22.21118155,327530.6,1325470484,29440.26555,2537100032,11.60390414,29440.26555
Clark,Kansas,C great plains,271.628252,8.26,22.43649362,460565.7,1863844909,41818.14439,2531620096,16.51833324,41818.14439
Sumner,Kansas,C great plains,417.044895,8.26,34.44790833,133990.6,542241199.5,18679.07513,3068720128,6.086926912,18679.07513
Cowley,Kansas,C great plains,376.016594,8.26,31.05897066,430269.4,1741240024,54081.12283,2932610048,18.44129357,54081.12283
Sherman,Nebraska,C great plains,374.853158,8.26,30.96287085,204348.4,826969366,25605.34568,1480530048,17.2947153,25605.34568
Hitchcock,Nebraska,C great plains,282.619275,8.26,23.34435212,224188.9,907261091.9,21179.42239,1860770048,11.382074,21179.42239
Cheyenne,Nebraska,C great plains,338.714947,8.26,27.97785462,284005.1,1149328879,32155.75629,3098830080,10.37674072,32155.75629
Deuel,Nebraska,C great plains,321.773977,8.26,26.5785305,77496.8,313618700,8335.524185,1141570048,7.301807015,8335.524185
Keith,Nebraska,C great plains,297.057435,8.26,24.53694413,421296.2,1704926740,41833.69217,2873969920,14.55606472,41833.69217
Lincoln,Nebraska,C great plains,322.438919,8.26,26.63345471,1168167.2,4727409115,125907.2366,6670360064,18.8756282,125907.2366
Custer,Nebraska,C great plains,345.485168,8.26,28.53707488,1153376,4667551199,133198.2581,6671569920,19.96505465,133198.2581
Valley,Nebraska,C great plains,371.1796,8.26,30.65943496,203307,822754966,25225.20237,1148220032,21.9689621,25225.20237
Greeley,Nebraska,C great plains,377.108955,8.26,31.14919968,210363.3,851310824.2,26517.65086,1477890048,17.94291185,26517.65086
Howard,Nebraska,C great plains,399.896471,8.26,33.0314485,156639.7,633898936.3,20938.60007,1490729984,14.04587034,20938.60007
Polk,Nebraska,C great plains,498.65778,8.26,41.18913263,33948.3,137384017.3,5658.728511,1141319936,4.958056311,5658.728511
Butler,Nebraska,C great plains,495.702856,8.26,40.94505591,48178.2,194970430.5,7983.075175,1530279936,5.216741713,7983.075175
Perkins,Nebraska,C great plains,366.345992,8.26,30.26017894,107492,435005075.1,13163.33141,2290419968,5.747125678,13163.33141
Dawson,Nebraska,C great plains,379.215382,8.26,31.32319055,274777.9,1111987692,34831.00238,2640310016,13.19201237,34831.00238
Buffalo,Nebraska,C great plains,418.384746,8.26,34.55858002,222801.2,901645264.2,31159.58001,2526380032,12.33368678,31159.58001
Hall,Nebraska,C great plains,486.465907,8.26,40.18208392,57289.5,231842586,9315.918245,1430099968,6.514172753,9315.918245
Hamilton,Nebraska,C great plains,552.718137,8.26,45.65451812,23724.4,96009325.38,4383.259485,1410829952,3.106865912,4383.259485
York,Nebraska,C great plains,555.598385,8.26,45.8924266,18282,73984694.52,3395.337163,1491440000,2.276549618,3395.337163
Seward,Nebraska,C great plains,503.014645,8.26,41.54900968,53898,218117660.3,9062.572778,1491590016,6.075779993,9062.572778
Chase,Nebraska,C great plains,319.248736,8.26,26.36994559,272045.4,1100929647,29031.45491,2324140032,12.49126753,29031.45491
Hayes,Nebraska,C great plains,305.574775,8.26,25.24047642,278223,1125929530,28418.99774,1847730048,15.38049228,28418.99774
Frontier,Nebraska,C great plains,311.792178,8.26,25.7540339,370833.1,1500709639,38649.32692,2538299904,15.22646196,38649.32692
Gosper,Nebraska,C great plains,363.219126,8.26,30.00189981,128370,519495418.2,15585.84949,1198329984,13.00630853,15585.84949
Phelps,Nebraska,C great plains,450.623254,8.26,37.22148078,42528.3,172106076.1,6406.043005,1399830016,4.576300645,6406.043005
Kearney,Nebraska,C great plains,453.892864,8.26,37.49155057,39364.3,159301811.1,5972.471906,1337280000,4.466134172,5972.471906
Adams,Nebraska,C great plains,470.495061,8.26,38.86289204,41497.3,167933763.5,6526.39172,1461319936,4.466093673,6526.39172
Clay,Nebraska,C great plains,490.730482,8.26,40.53433781,53315.3,215759555,8745.670687,1485400064,5.887754349,8745.670687
Fillmore,Nebraska,C great plains,529.296104,8.26,43.71985819,23063.2,93333541.55,4080.529201,1493129984,2.732869372,4080.529201
Saline,Nebraska,C great plains,516.442092,8.26,42.6581168,47296.7,191403123.4,8164.896792,1492519936,5.470544544,8164.896792
Dundy,Nebraska,C great plains,273.849391,8.26,22.6199597,367403.3,1486829719,33632.02831,2385860096,14.09639583,33632.02831
Red Willow,Nebraska,C great plains,324.401314,8.26,26.79554854,196993.8,797206329.5,21361.58089,1859750016,11.48626467,21361.58089
Furnas,Nebraska,C great plains,341.054185,8.26,28.17107568,176445,714048212.7,20115.50624,1866800000,10.77539439,20115.50624
Harian,Nebraska,C great plains,371.058521,8.26,30.64943383,122135.4,494264864.8,15148.93827,1486819968,10.18881815,15148.93827
Franklin,Nebraska,C great plains,359.483099,8.26,29.69330398,167855,679285685.3,20170.23634,1491949952,13.51937866,20170.23634
Webster,Nebraska,C great plains,364.921213,8.26,30.14249219,148859.9,602415174.9,18158.29471,1489350016,12.19209354,18158.29471
Nuckolls,Nebraska,C great plains,397.466876,8.26,32.83076396,110022.9,445247273.1,14617.80813,1491389952,9.801466146,14617.80813
Thayer,Nebraska,C great plains,419.936582,8.26,34.68676167,63405.2,256591967.7,8900.34443,1489500032,5.97539056,8900.34443
Jefferson,Nebraska,C great plains,416.210839,8.26,34.3790153,95232.7,385393404.3,13249.44574,1491330048,8.884314885,13249.44574
Greer,Oklahoma,C great plains,139.45367,8.26,11.51887314,1572.8,6364901.408,73.31649188,1666940032,0.043982681,73.31649188
Beckham,Oklahoma,C great plains,206.051674,8.26,17.01986827,168747.9,682899126.6,11622.85318,2341390080,4.964082353,11622.85318
Washita,Oklahoma,C great plains,325.425761,8.26,26.88016786,159275.9,644567268.7,17326.07638,2612869888,6.631052108,17326.07638
Payne,Oklahoma,C great plains,362.189171,8.26,29.91682552,226866.1,918095345.4,27466.49826,1805289984,15.21445225,27466.49826
Major,Oklahoma,C great plains,314.662959,8.26,25.99116041,293046.3,1185917350,30823.36807,2481309952,12.42221595,30823.36807
Roger Mills,Oklahoma,C great plains,218.245795,8.26,18.02710267,426788.2,1727152095,31135.54814,2969580032,10.48483213,31135.54814
Jefferson,Oklahoma,C great plains,352.022592,8.26,29.0770661,327324.4,1324636021,38516.52915,2004800000,19.2121554,38516.52915
Comanche,Oklahoma,C great plains,296.297021,8.26,24.47413393,441213,1785527241,43699.23284,2806810112,15.56900221,43699.23284
Kay,Oklahoma,C great plains,401.92369,8.26,33.19889679,180111.6,728886429.6,24198.22535,2447539968,9.886753911,24198.22535
Woods,Oklahoma,C great plains,284.956293,8.26,23.5373898,552265.1,2234939543,52604.6432,3341040128,15.74498994,52604.6432
Grant,Oklahoma,C great plains,388.144661,8.26,32.060749,177125.8,716803315,22981.25116,2599290112,8.841356745,22981.25116
Dewey,Oklahoma,C great plains,303.004477,8.26,25.0281698,351719.8,1423360790,35624.11553,2611040000,13.64364986,35624.11553
Washington,Oklahoma,C great plains,384.743343,8.26,31.77980013,161243.2,652528656.4,20737.23028,1098880000,18.87124188,20737.23028
Love,Oklahoma,C great plains,404.978583,8.26,33.45123096,163826.6,662983314.5,22177.60797,1378150016,16.09230324,22177.60797
Noble,Oklahoma,C great plains,346.086798,8.26,28.58676951,223953.6,906308865.7,25908.44265,1923040000,13.47264885,25908.44265
Cimarron,Oklahoma,C great plains,191.611571,8.26,15.82711576,559037.6,2262346902,35806.42632,4767719936,7.510178198,35806.42632
Texas,Oklahoma,C great plains,219.465427,8.26,18.12784427,455948.4,1845159342,33448.76121,5306860032,6.302928851,33448.76121
Beaver,Oklahoma,C great plains,222.842447,8.26,18.40678612,631806.7,2556833262,47063.083,4707680256,9.997085708,47063.083
Harper,Oklahoma,C great plains,257.609439,8.26,21.27853966,506337.9,2049078594,43601.40013,2695960064,16.17286573,43601.40013
Alfalfa,Oklahoma,C great plains,342.817944,8.26,28.31676217,172743.5,699068760.4,19795.36383,2283040000,8.670616298,19795.36383
Osage,Oklahoma,C great plains,358.313621,8.26,29.59670509,864764.7,3499581674,103576.0868,5967079936,17.35791842,103576.0868
Ellis,Oklahoma,C great plains,244.42315,8.26,20.18935219,517065.8,2092492903,42246.07618,3190240000,13.24228778,42246.07618
Woodward,Oklahoma,C great plains,285.353015,8.26,23.57015904,543125.5,2197952861,51806.09849,3227879936,16.04957418,51806.09849
Garfield,Oklahoma,C great plains,369.370883,8.26,30.51003494,192653.6,779642147.7,23786.90916,2745590016,8.66367849,23786.90916
Custer,Oklahoma,C great plains,291.162565,8.26,24.05002787,296178.1,1198591306,28826.15431,2595800064,11.10492087,28826.15431
Blaine,Oklahoma,C great plains,374.126697,8.26,30.90286517,225056.5,910772147.6,28145.46888,2431350016,11.57606626,28145.46888
Kingfisher,Oklahoma,C great plains,369.618076,8.26,30.53045308,175831.4,711565059.4,21724.40366,2346739968,9.257269213,21724.40366
Logan,Oklahoma,C great plains,356.814713,8.26,29.47289529,206976.7,837605728.2,24686.66592,1939280000,12.72980999,24686.66592
Canadian,Oklahoma,C great plains,426.014068,8.26,35.18876202,216049.1,874320460.8,30766.25462,2345440000,13.11747673,30766.25462
Caddo,Oklahoma,C great plains,397.930809,8.26,32.86908482,396247.7,1603558967,52707.51571,3341319936,15.77445941,52707.51571
