,,,,,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,Tonnes C,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,,gC/m2/yr County Density,gC/m2/yr ,
County,State,ID,Year,Area m2,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring Durum,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,BLM Grazing,USFS Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,Alfalfa,Corn Grain,Corn Silage,Cotton Pima,Cotton Upland,Haylage,Sorghum,Soybeans,Wheat Winter,Wheat Spring,Wheat Excl Duram,Crops Other,Total crops,Hardwood,Softwood,Total Timber,USFS Grazing,BLM Grazing,Grazing Private Land,Total Grazing,Total HANPP Harvest,NPP 2012,NPP Percent
BURKE,GEORGIA,GEORGIA_BURKE,2012,2161840128,,49353.25,,0,12238.5,,0,6002.529,11502.76,,,,79097.039,101802.768,121155.8136,222958.5816,,,,0,302055.6206,0,22.82927834,0,0,5.661149426,0,0,2.776583209,5.320818987,0,0,0,36.58782996,47.09079393,5.60429E-05,47.09084997,,0,,0,139.7215348,450.017991,31.05
BURKE,NORTH DAKOTA,NORTH DAKOTA_BURKE,2012,2924160000,26712.39,1501.869,,0,,,0,323.6839,26426.22,61545.44,126107,,242616.6029,145.481427,,145.481427,,,,0,242762.0843,9.135064429,0.513606985,0,0,0,0,0,0.110692951,9.037200427,21.0472204,43.12588914,0,82.96967433,0.049751528,,0.049751528,,0,,0,83.01942586,547.884647,15.15
BURKE,NORTH CAROLINA,NORTH CAROLINA_BURKE,2012,1331830016,,3090.371,,0,,,0,800.1241,408.7406,,,,4299.2357,47076.07823,19487.77565,66563.85388,,,,0,70863.08958,0,2.320394467,0,0,0,0,0,0.600770436,0.306901478,0,0,0,3.228066381,35.34691189,1.46323E-05,35.34692652,,0,,0,53.20730779,643.808251,8.26
BURLEIGH,NORTH DAKOTA,NORTH DAKOTA_BURLEIGH,2012,4321019904,55454.28,120285.1,,0,,,0,25818.99,18152.63,,101819.5,,321530.5,410.771088,,410.771088,,,,0,321941.2711,12.83360902,27.83720109,0,0,0,0,0,5.975207375,4.201005874,0,23.56376556,0,74.41078892,0.095063457,,0.095063457,,0,,0,74.50585238,398.755634,18.68
BURLESON,TEXAS,TEXAS_BURLESON,2012,1752989952,,26270.89,,0,7684.381,,8377.858,0,,,,,42333.129,,,0,,,,0,42333.129,0,14.98633233,0,0,4.383585309,0,4.779181986,0,0,0,0,0,24.14909963,,,0,,0,,0,24.14909963,390.333377,6.19
BURLINGTON,NEW JERSEY,NEW JERSEY_BURLINGTON,2012,2123900032,1970.941,20488.12,,0,,,0,20622.58,3403.334,,,,46484.975,3602.804751,36.04397468,3638.848726,,,,0,50123.82373,0.927982,9.646461552,0,0,0,0,0,9.709769617,1.602398394,0,0,0,21.88661156,1.696315597,1.69707E-08,1.696315614,,0,,0,23.59989782,772.82906,3.05
BURNET,TEXAS,TEXAS_BURNET,2012,2645270016,,,,0,,,0,0,,,,,0,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,0,261.45013,0.00
BURNETT,WISCONSIN,WISCONSIN_BURNETT,2012,2280250112,13139.61,31541.11,,0,,,0,6960.52,80.61274,,,,51721.85274,66775.97499,14201.32603,80977.30102,,,,0,132699.1538,5.762354722,13.8323028,0,0,0,0,0,3.052524793,0.035352587,0,0,0,22.6825349,29.28449587,6.22797E-06,29.2845021,,0,,0,58.19499934,524.797111,11.09
BURT,NEBRASKA,NEBRASKA_BURT,2012,1287260032,13476.52,339526.3,,0,,,0,98543.15,1062.063,,,,452608.033,256.73193,,256.73193,,,,0,452864.7649,10.46915127,263.7589077,0,0,0,0,0,76.55263704,0.825057078,0,0,0,351.6057531,0.199440613,,0.199440613,,0,,0,351.8051937,502.357093,70.03
BUTLER,NEBRASKA,NEBRASKA_BUTLER,2012,1530279936,21073.11,457126.4,,0,,,0,119173.7,1101.329,,,,598474.539,136.923696,,136.923696,,,,0,598611.4627,13.77075495,298.7207695,0,0,0,0,0,77.87705844,0.719691198,0,0,0,391.0882741,0.089476241,,0.089476241,,0,,0,391.1777503,542.75349,72.07
BUTLER,IOWA,IOWA_BUTLER,2012,1506720000,8154.994,456215,,0,,,0,107109.5,,,,,571479.494,1386.352422,,1386.352422,,,,0,572865.8464,5.412415047,302.7868483,0,0,0,0,0,71.08785972,0,0,0,0,379.287123,0.920112842,,0.920112842,,0,,0,380.2072359,535.256807,71.03
BUTLER,MISSOURI,MISSOURI_BUTLER,2012,1810809984,,114449.6,,0,149.8895,,2572.33,129661.7,21501.46,,,,268334.9795,25099.82502,895.092038,25994.91706,,,,0,294329.8966,0,63.20353931,0,0,0.082774836,0,1.420541096,71.60425508,11.87394602,0,0,0,148.1850563,13.86110373,4.94305E-07,13.86110422,,0,,0,162.5404649,366.633722,44.33
BUTLER,KENTUCKY,KENTUCKY_BUTLER,2012,1117820032,1213.288,42245.69,,0,,,0,23196.67,,,,,66655.648,29258.88229,,29258.88229,,,,0,95914.53029,1.08540549,37.79292622,0,0,0,0,0,20.75170362,0,0,0,0,59.63003533,26.17494896,,26.17494896,,0,,0,85.80498429,566.397932,15.15
BUTLER,ALABAMA,ALABAMA_BUTLER,2012,2014560000,,4719.066,,0,310.9685,,0,734.6594,,,,,5764.6939,43961.06415,111604.1603,155565.2245,,,,0,161329.9184,0,2.342479747,0,0,0.154360506,0,0,0.364674867,0,0,0,0,2.86151512,21.82167031,5.53988E-05,21.82172571,,0,,0,80.08196249,588.09603,13.62
BUTLER,PENNSYLVANIA,PENNSYLVANIA_BUTLER,2012,2058680064,24129.39,49183.76,,0,,,0,15474.93,1849.324,,,,90637.404,26896.94853,222.2711772,27119.21971,,,,0,117756.6237,11.72080617,23.89091965,0,0,0,0,0,7.516918374,0.898305683,0,0,0,44.02694988,13.06514257,1.07968E-07,13.06514268,,0,,0,57.20006026,495.702856,11.54
BUTLER,OHIO,OHIO_BUTLER,2012,1217040000,,39299.81,,0,,,0,25455.83,3744.064,,,,68499.704,9276.580404,,9276.580404,,,,0,77776.2844,0,32.29130513,0,0,0,0,0,20.91618188,3.076368895,0,0,0,56.28385591,7.622247752,,7.622247752,,0,,0,63.90610366,668.636151,9.56
BUTLER,KANSAS,KANSAS_BUTLER,2012,3746860032,5373.763,81790.72,,0,,,6213.15,26892.48,76284.63,,,,196554.743,2764.147113,30.03664557,2794.183759,,,,0,199348.9268,1.434204362,21.82913674,0,0,0,0,1.658228476,7.177337763,20.35961561,0,0,0,52.45852296,0.737723611,8.01648E-09,0.737723619,,0,,0,53.20426305,695.366755,7.65
BUTTE,CALIFORNIA,CALIFORNIA_BUTTE,2012,4343680000,,1716.336,,0,,,0,0,2566.042,,,,4282.378,2747.031651,187344.5657,190091.5974,,,,0,194373.9754,0,0.39513408,0,0,0,0,0,0,0.590753002,0,0,0,0.985887082,0.632420356,4.31304E-05,0.632463486,1.151187,0,,0,44.74868668,175.652881,25.48
BUTTE,SOUTH DAKOTA,SOUTH DAKOTA_BUTTE,2012,5870689792,84829.89,21490.68,,0,,,75.47827,0,9314.306,,3639.718,,119350.0723,479.232936,847.0334051,1326.266341,3870.63,,,3870.63,124546.9686,14.44973129,3.660673747,0,0,0,0,0.012856798,0,1.586577784,0,0.619981319,0,20.32982094,0.081631453,1.44282E-07,0.081631597,,0.659314346,,0.659314346,21.21504849,274.796308,7.72
BUTTE,IDAHO,IDAHO_BUTTE,2012,5797980160,114991.6,,,0,,,0,0,1742.059,,22411.7,,139145.359,,4968.061177,4968.061177,6729.849,,,6729.849,150843.2692,19.83304475,0,0,0,0,0,0,0,0.300459635,0,3.865432337,0,23.99893673,,8.56861E-07,8.56861E-07,2.420955,1.160723013,,1.160723013,26.01652041,337.543103,7.71
BUTTS,GEORGIA,GEORGIA_BUTTS,2012,486887008,,1149.101,,0,,,0,243.8342,340.63,,,,1733.5652,8754.558813,18478.54435,27233.10316,,,,0,28966.66836,0,2.360097889,0,0,0,0,0,0.500802437,0.699607906,0,0,0,3.560508232,17.98067862,3.79524E-05,17.98071657,,0,,0,59.49361533,488.000659,12.19
CABARRUS,NORTH CAROLINA,NORTH CAROLINA_CABARRUS,2012,942531968,,9930.721,,0,75.78689,,0,5887.826,5104.149,,,,20998.48289,13161.79028,7407.036797,20568.82708,,,,0,41567.30997,0,10.53621663,0,0,0.080407766,0,0,6.246818357,5.415359026,0,0,0,22.27880178,13.96429058,7.85866E-06,13.96429844,,0,,0,44.10175079,517.593432,8.52
CABELL,WEST VIRGINIA,WEST VIRGINIA_CABELL,2012,746022016,,297.7069,,0,,,0,0,,,,,297.7069,14359.87262,108.1319241,14468.00454,,,,0,14765.71144,0,0.399059134,0,0,0,0,0,0,0,0,0,0,0.399059134,19.24859094,1.44945E-07,19.24859108,,0,,0,19.79259476,589.171097,3.36
CACHE,UTAH,UTAH_CACHE,2012,3037799936,168252,,,0,,,0,0,,,,,168252,,1712.088797,1712.088797,,,,0,169964.0888,55.38613587,0,0,0,0,0,0,0,0,0,0,0,55.38613587,,5.63595E-07,5.63595E-07,3.379791,0,,0,55.94973085,414.897952,13.49
CADDO,LOUISIANA,LOUISIANA_CADDO,2012,2425139968,,12913.86,,0,4669.58,,318.8172,7666.323,,,,,25568.5802,72954.65678,46088.22896,119042.8857,,,,0,144611.4659,0,5.324995741,0,0,1.925488863,0,0.131463422,3.161187849,0,0,0,0,10.54313588,30.08265821,1.90044E-05,30.08267721,,0,,0,59.63015242,397.930809,14.99
CADDO,OKLAHOMA,OKLAHOMA_CADDO,2012,3341319936,7361.894,1360.588,,0,1154.067,,5759.59,0,125020.7,,,,140656.839,,,0,,,,0,140656.839,2.203289161,0.407200755,0,0,0.345392546,0,1.723746935,0,37.41656064,0,0,0,42.09619004,,,0,,0,,0,42.09619004,480.009586,8.77
CALAVERAS,CALIFORNIA,CALIFORNIA_CALAVERAS,2012,2685710080,,,,0,,,0,0,,,,,0,,57940.6893,57940.6893,43.19348,,,43.19348,57983.88278,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.15737E-05,2.15737E-05,1.151187,0.016082704,,0.016082704,21.5897774,385.25387,5.60
CALCASIEU,LOUISIANA,LOUISIANA_CALCASIEU,2012,2834200064,,,,0,,,1059.409,6025.843,,,,,7085.252,1275.101919,65545.96796,66821.06988,,,,0,73906.32188,0,0,0,0,0,0,0.373794713,2.126117728,0,0,0,0,2.499912441,0.449898345,2.31268E-05,0.449921472,,0,,0,26.07660723,720.679768,3.62
CALDWELL,KENTUCKY,KENTUCKY_CALDWELL,2012,901278016,2426.576,34862.65,,0,,,0,27967.57,31406.61,,,,96663.406,45612.70623,,45612.70623,,,,0,142276.1122,2.692372339,38.68134957,0,0,0,0,0,31.03101319,34.84675033,0,0,0,107.2514854,50.60891914,,50.60891914,,0,,0,157.8604046,399.32917,39.53
CALDWELL,LOUISIANA,LOUISIANA_CALDWELL,2012,1400199936,,8451.454,,0,,,0,8101.955,,,,,16553.409,53511.49194,100778.9532,154290.4451,,,,0,170843.8541,0,6.035890863,0,0,0,0,0,5.786284367,0,0,0,0,11.82217523,38.21703642,7.19747E-05,38.21710839,,0,,0,122.0138994,540.117677,22.59
CALDWELL,MISSOURI,MISSOURI_CALDWELL,2012,1113229952,,17635.35,,0,,,398.4554,27521.28,7806.946,,,,53362.0314,1942.604937,,1942.604937,,,,0,55304.63634,0,15.84160574,0,0,0,0,0.357927308,24.7220082,7.012878144,0,0,0,47.93441939,1.745016772,,1.745016772,,0,,0,49.67943616,301.94642,16.45
CALDWELL,NORTH CAROLINA,NORTH CAROLINA_CALDWELL,2012,1229110016,,2346.774,,0,,,0,918.4241,1361.617,,,,4626.8151,30174.55951,9809.968443,39984.52795,,,,0,44611.34305,0,1.909327863,0,0,0,0,0,0.747226927,1.107807261,0,0,0,3.76436205,24.54992565,7.98136E-06,24.54993363,,0,,0,36.29564683,583.15221,6.22
CALDWELL,TEXAS,TEXAS_CALDWELL,2012,1417010048,,10602.45,,0,1698.375,,12395.93,0,,,,,24696.755,,,0,,,,0,24696.755,0,7.48226875,0,0,1.198562425,0,8.747947848,0,0,0,0,0,17.42877902,,,0,,0,,0,17.42877902,646.29507,2.70
CALEDONIA,VERMONT,VERMONT_CALEDONIA,2012,1703360000,,,,0,,,0,0,,,,,0,38894.8874,32878.11224,71772.99964,,,,0,71772.99964,0,0,0,0,0,0,0,0,0,0,0,0,0,22.83421437,1.93019E-05,22.83423367,,0,,0,42.13613073,652.110271,6.46
CALHOUN,IOWA,IOWA_CALHOUN,2012,1482179968,3697.609,529240.9,,0,,,0,127884.8,,,,,660823.309,676.060749,,676.060749,,,,0,661499.3697,2.494709873,357.0692571,0,0,0,0,0,86.28156011,0,0,0,0,445.845527,0.456125952,,0.456125952,,0,,0,446.301653,772.260958,57.79
CALHOUN,FLORIDA,FLORIDA_CALHOUN,2012,1487879936,,,,0,3692.797,,0,0,,,,,3692.797,61889.51059,168565.6549,230455.1655,,,,0,234147.9625,0,0,0,0,2.481918675,0,0,0,0,0,0,0,2.481918675,41.59576932,0.000113293,41.59588261,,0,,0,157.3701996,448.50118,35.09
CALHOUN,ILLINOIS,ILLINOIS_CALHOUN,2012,734564992,4431.385,53328.71,,0,,,0,14229.58,2771.726,,,,74761.401,4920.695325,12.01465823,4932.709983,,,,0,79694.11098,6.032665657,72.59903559,0,0,0,0,0,19.37143773,3.773288994,0,0,0,101.776428,6.698788233,1.63562E-08,6.698788249,,0,,0,108.4915724,465.212249,23.32
CALHOUN,MICHIGAN,MICHIGAN_CALHOUN,2012,1860640000,,146689.9,,0,,,0,64116.5,11695.94,,,,222502.34,35600.16096,36.04397468,35636.20493,,,,0,258138.5449,0,78.83841044,0,0,0,0,0,34.45937957,6.285976868,0,0,0,119.5837669,19.13328799,1.93718E-08,19.13328801,,0,,0,138.7364267,775.613025,17.89
CALHOUN,MISSISSIPPI,MISSISSIPPI_CALHOUN,2012,1522259968,,16517.16,,0,5598.311,,2994.052,21997.42,2753.322,,,,49860.265,26939.73719,76701.57813,103641.3153,,,,0,153501.5803,0,10.85042,0,0,3.677631362,0,1.966846704,14.45050153,1.808706829,0,0,0,32.75410643,17.69719874,5.03866E-05,17.69724913,,0,,0,100.8379538,606.430227,16.63
CALHOUN,SOUTH CAROLINA,SOUTH CAROLINA_CALHOUN,2012,1016380032,,16900.14,,0,10535.12,,0,559.5273,3117.907,,,,31112.6943,18527.48762,30312.98271,48840.47033,,,,0,79953.16463,0,16.62777649,0,0,10.36533547,0,0,0.55050993,3.067658653,0,0,0,30.61128055,18.22889769,2.98245E-05,18.22892751,,0,,0,78.66463539,542.654832,14.50
CALHOUN,GEORGIA,GEORGIA_CALHOUN,2012,734665024,,50202.83,,0,7705.061,,0,727.5842,9220.304,,,,67855.7792,136.923696,13150.04343,13286.96713,,,,0,81142.74633,0,68.33431341,0,0,10.48785603,0,0,0.990361833,12.55035111,0,0,0,92.36288238,0.186375684,1.78994E-05,0.186393583,,0,,0,110.4486312,791.170507,13.96
CALHOUN,ARKANSAS,ARKANSAS_CALHOUN,2012,1638019968,,,,0,,,0,84.19554,,,,,84.19554,48282.7183,113118.0072,161400.7255,,,,0,161484.921,0,0,0,0,0,0,0,0.051400802,0,0,0,0,0.051400802,29.47626967,6.90578E-05,29.47633873,,0,,0,98.58544108,746.572424,13.21
CALHOUN,WEST VIRGINIA,WEST VIRGINIA_CALHOUN,2012,727216000,,25.10781,,0,,,0,0,,,,,25.10781,31381.19958,354.4324177,31735.632,,,,0,31760.73981,0,0.034525932,0,0,0,0,0,0,0,0,0,0,0.034525932,43.15251531,4.87383E-07,43.1525158,,0,,0,43.67442384,501.241885,8.71
CALHOUN,TEXAS,TEXAS_CALHOUN,2012,1934680064,,29409.85,,0,8053.316,,50394.17,30.18116,,,,,87887.51716,,,0,,,,0,87887.51716,0,15.20140231,0,0,4.162608666,0,26.04780549,0.015600078,0,0,0,0,45.42741655,,,0,,0,,0,45.42741655,565.211564,8.04
CALHOUN,ALABAMA,ALABAMA_CALHOUN,2012,1585609984,,3176.295,,0,2288.911,,0,2212.264,,,,,7677.47,7881.670251,14135.24541,22016.91566,,,,0,29694.38566,0,2.003200681,0,0,1.443552338,0,0,1.395213213,0,0,0,0,4.841966232,4.970749636,8.91471E-06,4.970758551,,0,,0,18.72742097,514.557921,3.64
CALLAHAN,TEXAS,TEXAS_CALLAHAN,2012,2334089984,,,,0,,,0,0,7952.191,,,,7952.191,,,0,,,,0,7952.191,0,0,0,0,0,0,0,0,3.406977047,0,0,0,3.406977047,,,0,,0,,0,3.406977047,191.278532,1.78
CALLAWAY,MISSOURI,MISSOURI_CALLAWAY,2012,2194480128,1398.189,29683.61,,0,,,740.9544,37277.57,10378.89,,,,79479.2134,18082.4856,294.3591266,18376.84473,,,,0,97856.05813,0.637139057,13.5264884,0,0,0,0,0.337644616,16.98697087,4.729543853,0,0,0,36.21778679,8.239986032,1.34136E-07,8.239986166,,0,,0,44.59190898,519.419784,8.58
CALLOWAY,KENTUCKY,KENTUCKY_CALLOWAY,2012,1064080000,,30294.84,,0,,,0,34384.82,41946.16,,,,106625.82,6315.605478,11245.7201,17561.32558,,,,0,124187.1456,0,28.47045335,0,0,0,0,0,32.31413052,39.42011879,0,0,0,100.2047027,5.935273173,1.05685E-05,5.935283742,,0,,0,116.708467,779.173176,14.98
CALUMET,WISCONSIN,WISCONSIN_CALUMET,2012,1028430016,38728.96,95694.33,,0,,,0,34021.92,13203.46,,,,181648.67,15001.70244,48.05863291,15049.76107,,,,0,196698.4311,37.65833299,93.04894695,0,0,0,0,0,33.08141485,12.83846231,0,0,0,176.6271571,14.58699397,4.67301E-08,14.58699402,,0,,0,191.2608812,684.406122,27.95
CALVERT,MARYLAND,MARYLAND_CALVERT,2012,615593024,,6478.74,,0,,,0,3754.428,,,,,10233.168,16165.55386,126.1539114,16291.70777,,,,0,26524.87577,0,10.52438827,0,0,0,0,0,6.098880029,0,0,0,0,16.6232683,26.26013166,2.04931E-07,26.26013186,,0,,0,43.08833066,978.928985,4.40
CAMAS,IDAHO,IDAHO_CAMAS,2012,2794030080,30983.97,,,0,,,0,0,1288.727,,2818.976,,35091.673,,,0,747.9922,,,747.9922,35839.6652,11.08934733,0,0,0,0,0,0,0,0.461243066,0,1.008928293,0,12.55951869,,,0,2.420955,0.267710862,,0.267710862,12.82722955,205.559331,6.24
CAMBRIA,PENNSYLVANIA,PENNSYLVANIA_CAMBRIA,2012,1796019968,20878.67,26649.34,,0,,,0,6663.517,2657.552,,,,56849.079,78748.24066,2144.616494,80892.85715,,,,0,137741.9362,11.62496541,14.83799761,0,0,0,0,0,3.710157525,1.479689562,0,0,0,31.65281011,43.84597168,1.19409E-06,43.84597287,,0,,0,76.6928757,592.297456,12.95
CAMDEN,NORTH CAROLINA,NORTH CAROLINA_CAMDEN,2012,636448000,,55043.33,,0,336.8957,,0,37954.34,26237.46,,,,119572.0257,38244.49984,7178.758291,45423.25813,,,,0,164995.2838,0,86.48519596,0,0,0.529337354,0,0,59.63462844,41.22482905,0,0,0,187.8739908,60.09053346,1.12794E-05,60.09054474,,0,,0,259.2439348,427.961625,60.58
CAMDEN,GEORGIA,GEORGIA_CAMDEN,2012,1776169984,,62.0609,,0,,,0,0,,,,,62.0609,24355.30243,127878.0148,152233.3172,,,,0,152295.3781,0,0.034940856,0,0,0,0,0,0,0,0,0,0,0.034940856,13.71225876,7.19965E-05,13.71233076,,0,,0,85.74369542,716.956522,11.96
CAMDEN,NEW JERSEY,NEW JERSEY_CAMDEN,2012,588937024,401.087,579.5495,,0,,,0,323.7265,,,,,1304.363,8865.809316,36.04397468,8901.853291,,,,0,10206.21629,0.681035465,0.984060224,0,0,0,0,0,0.549679315,0,0,0,0,2.214775005,15.0539174,6.12017E-08,15.05391746,,0,,0,17.32989416,505.889564,3.43
CAMDEN,MISSOURI,MISSOURI_CAMDEN,2012,1835360000,1595.123,237.8226,,0,,,14.15836,65.58562,182.1848,,,,2094.87438,13016.30885,2210.697114,15227.00596,,,,0,17321.88034,0.869106333,0.129578175,0,0,0,0,0.007714214,0.035734472,0.099263796,0,0,0,1.14139699,7.091964983,1.2045E-06,7.091966188,,0,,0,9.437865238,935.543086,1.01
CAMERON,TEXAS,TEXAS_CAMERON,2012,2611290112,,37882.48,,0,19733.07,,174243.2,0,,,,,231858.75,,,0,,,,0,231858.75,0,14.50718931,0,0,7.55682791,0,66.72686394,0,0,0,0,0,88.79088116,,,0,,0,,0,88.79088116,561.379264,15.82
CAMERON,PENNSYLVANIA,PENNSYLVANIA_CAMERON,2012,1031769984,265.1762,981.6956,,0,,,0,0,,,,,1246.8718,31432.54596,420.513038,31853.059,,,,0,33099.9308,0.257010966,0.951467493,0,0,0,0,0,0,0,0,0,0,1.208478459,30.46468346,4.07565E-07,30.46468387,,0,,0,32.08072663,930.630283,3.45
CAMERON,LOUISIANA,LOUISIANA_CAMERON,2012,4245530112,,,,0,,,63.06004,984.7681,,,,,1047.82814,,588.7182532,588.7182532,,,,0,1636.546393,0,0,0,0,0,0,0.014853278,0.231954096,0,0,0,0,0.246807374,,1.38668E-07,1.38668E-07,,0,,0,0.385475159,504.998764,0.08
CAMP,TEXAS,TEXAS_CAMP,2012,526361984,,,,0,,,0,0,,,,,0,2635.781148,1742.125443,4377.906591,,,,0,4377.906591,0,0,0,0,0,0,0,0,0,0,0,0,0,5.007544671,3.30975E-06,5.007547981,,0,,0,8.317292517,401.141555,2.07
CAMPBELL,SOUTH DAKOTA,SOUTH DAKOTA_CAMPBELL,2012,1997159936,30663.32,129755,,0,,,0,34040.04,5614.507,,50724.71,,250797.577,,102.1245949,102.1245949,,,,0,250899.7016,15.35346241,64.96975914,0,0,0,0,0,17.04422334,2.811245559,0,25.39842157,0,125.577112,,5.11349E-08,5.11349E-08,,0,,0,125.6282469,214.566439,58.55
CAMPBELL,VIRGINIA,VIRGINIA_CAMPBELL,2012,1312480000,,873.1861,,0,,,0,5068.518,2497.008,,,,8438.7121,135862.5374,79585.0961,215447.6335,,,,0,223886.3456,0,0.665294785,0,0,0,0,0,3.861786846,1.902511276,0,0,0,6.429592908,103.5158916,6.06372E-05,103.5159522,,0,,0,170.5826722,530.173069,32.17
CAMPBELL,TENNESSEE,TENNESSEE_CAMPBELL,2012,1290220032,,876.7731,,0,,,0,0,48.80641,,,,925.57951,71166.091,1591.942215,72758.03322,,,,0,73683.61273,0,0.67955316,0,0,0,0,0,0,0.037827974,0,0,0,0.717381134,55.15810422,1.23385E-06,55.15810545,,0,,0,57.10933864,378.822434,15.08
CAMPBELL,KENTUCKY,KENTUCKY_CAMPBELL,2012,413628000,2021.478,885.887,,0,,,0,0,,,,,2907.365,547.694784,96.11726582,643.8120498,,,,0,3551.17705,4.887188488,2.141748141,0,0,0,0,0,0,0,0,0,0,7.028936629,1.324124053,2.32376E-07,1.324124285,,0,,0,8.585436793,593.288599,1.45
CAMPBELL,WYOMING,WYOMING_CAMPBELL,2012,12452400128,16528.7,,,0,,,0,0,1751.056,,,,18279.756,,,0,4563.676,,,4563.676,22843.432,1.327350537,0,0,0,0,0,0,0,0.140619959,0,0,0,1.467970497,,,0,3.376521,0.366489669,,0.366489669,1.834460166,526.416475,0.35
CANADIAN,OKLAHOMA,OKLAHOMA_CANADIAN,2012,2345440000,23624.02,,,0,,,368.1867,369.9275,154810.5,,,,179172.6342,,,0,,,,0,179172.6342,10.07231905,0,0,0,0,0,0.156979799,0.157722005,66.00488608,0,0,0,76.39190693,,,0,,0,,0,76.39190693,426.014068,17.93
CANDLER,GEORGIA,GEORGIA_CANDLER,2012,644497024,,4347.848,,0,6456.375,,0,2105.431,1223.127,,,,14132.781,4646.847933,52221.71199,56868.55992,,,,0,71001.34092,0,6.746110281,0,0,10.0176956,0,0,3.26678157,1.89780085,0,0,0,21.9283883,7.210037843,8.10271E-05,7.21011887,,0,,0,110.1655062,644.482675,17.09
CANNON,TENNESSEE,TENNESSEE_CANNON,2012,688228992,,4035.536,,0,,,0,13044.98,1462.021,,,,18542.537,16182.66932,468.5716709,16651.24099,,,,0,35193.77799,0,5.863653009,0,0,0,0,0,18.95441801,2.124323469,0,0,0,26.94239449,23.51349552,6.80837E-07,23.5134962,,0,,0,51.13672687,548.210301,9.33
CANYON,IDAHO,IDAHO_CANYON,2012,1563480064,111807,,,0,,,0,0,75966.43,,10098.94,,197872.37,,,0,205.0658,,,205.0658,198077.4358,71.51162498,0,0,0,0,0,0,0,48.58803879,0,6.459270081,0,126.5589339,,,0,,0.131159843,,0.131159843,126.6900937,581.654252,21.78
CAPE GIRARDEAU,MISSOURI,MISSOURI_CAPE GIRARDEAU,2012,1518630016,,65302.3,,0,,,476.3574,51757.87,29827.85,,,,147364.3774,20239.03382,216.2638481,20455.29767,,,,0,167819.6751,0,43.00079632,0,0,0,0,0.313675744,34.0819485,19.64128832,0,0,0,97.03770889,13.32716567,1.42407E-07,13.32716581,,0,,0,110.5072818,513.509712,21.52
CAPE MAY,NEW JERSEY,NEW JERSEY_CAPE MAY,2012,740374016,401.087,579.5495,,0,,,0,323.7265,397.3867,,,,1701.7497,85.57731,6.007329114,91.58463911,,,,0,1793.334339,0.541735652,0.782779362,0,0,0,0,0,0.437247247,0.536737772,0,0,0,2.298500033,0.115586593,8.11391E-09,0.115586601,,0,,0,2.422200537,1131.125,0.21
CARBON,MONTANA,MONTANA_CARBON,2012,5340409856,53825.87,7939.771,,0,,,0,0,3458.377,,2043.703,,67267.721,,402.4910506,402.4910506,1923.333,,,1923.333,69593.54505,10.07897735,1.486734392,0,0,0,0,0,0,0.647586439,0,0.382686546,0,12.59598473,,7.53671E-08,7.53671E-08,2.986764,0.360147077,,0.360147077,13.03149888,178.134939,7.32
CARBON,UTAH,UTAH_CARBON,2012,3845479936,17455.3,,,0,,,0,0,,,,,17455.3,119.808234,2228.719101,2348.527335,1472.022,,,1472.022,21275.84934,4.539173339,0,0,0,0,0,0,0,0,0,0,0,4.539173339,0.0311556,5.79569E-07,0.03115618,3.379791,0.382792792,,0.382792792,5.532690246,206.265456,2.68
CARBON,PENNSYLVANIA,PENNSYLVANIA_CARBON,2012,1003310016,1669.658,5304.509,,0,,,0,1273.552,382.544,,,,8630.263,3970.787184,156.190557,4126.977741,,,,0,12757.24074,1.664149638,5.287008916,0,0,0,0,0,1.26935043,0.381281951,0,0,0,8.601790934,3.957687176,1.55675E-07,3.957687332,,0,,0,12.71515338,679.586207,1.87
CARBON,WYOMING,WYOMING_CARBON,2012,20626700288,7896.052,,,0,,,0,0,,,,,7896.052,,48.05863291,48.05863291,25173.37,,,25173.37,33117.48063,0.382807327,0,0,0,0,0,0,0,0,0,0,0,0.382807327,,2.32992E-09,2.32992E-09,3.376521,1.220426421,,1.220426421,1.605563671,155.693763,1.03
CARIBOU,IDAHO,IDAHO_CARIBOU,2012,4657930240,47167.83,,,0,,,0,0,27383.64,,21739.89,,96291.36,,5592.823405,5592.823405,600.9915,,,600.9915,102485.1749,10.1263496,0,0,0,0,0,0,0,5.878928749,0,4.667285442,0,20.67256379,,1.20071E-06,1.20071E-06,2.420955,0.12902544,,0.12902544,22.00229922,361.854217,6.08
